StockID,StockName,Exchange,Category_code,Category,Reference,ShareCapital,Total_Shares,MarketCapital,Chairman,DayTrade
0050,元大台灣50,TSE,00,ETF,166.65,,1907000.0,319300000000.0,劉宗聖,Yes
0051,元大中型100,TSE,00,ETF,79.4,,19500.0,1560000000.0,劉宗聖,Yes
0052,富邦科技,TSE,00,ETF,161.65,,38500.0,6230000000.0,史綱,Yes
0053,元大電子,TSE,00,ETF,89.75,,4500.0,405000000.0,劉宗聖,Yes
0055,元大MSCI金融,TSE,00,ETF,26.62,,69700.0,1870000000.0,劉宗聖,Yes
0056,元大高股息,TSE,00,ETF,39.3,,7300000.0,289100000000.0,劉宗聖,Yes
0057,富邦摩台,TSE,00,ETF,123.05,,1500.0,189000000.0,史綱,Yes
0061,元大寶滬深,TSE,00,ETF,17.83,,132600.0,2370000000.0,劉宗聖,Yes
006201,元大富櫃50,OTC,00,ETF,21.1,,14900.0,319000000.0,劉宗聖,Yes
006203,元大MSCI台灣,TSE,00,ETF,79.45,,10200.0,815000000.0,劉宗聖,Yes
006204,永豐臺灣加權,TSE,00,ETF,105.85,,1500.0,159000000.0,陳思寬,Yes
006205,富邦上証,TSE,00,ETF,30.31,,165400.0,5030000000.0,史綱,Yes
006206,元大上證50,TSE,00,ETF,29.19,,41800.0,1220000000.0,劉宗聖,Yes
006207,復華滬深,TSE,00,ETF,23.1,,33400.0,772000000.0,杜俊雄,Yes
006208,富邦台50,TSE,00,ETF,97.5,,922000.0,90500000000.0,史綱,Yes
00625K,富邦上証+R,TSE,00,ETF,6.85,,400.0,2000000.0,史綱,No
00631L,元大台灣50正2,TSE,00,ETF,211.4,,68100.0,14600000000.0,劉宗聖,Yes
00632R,元大台灣50反1,TSE,00,ETF,3.73,,8153000.0,30200000000.0,劉宗聖,Yes
00633L,富邦上証正2,TSE,00,ETF,35.58,,315000.0,11300000000.0,史綱,Yes
00634R,富邦上証反1,TSE,00,ETF,4.51,,49300.0,221000000.0,史綱,Yes
00635U,期元大S&P黃金,TSE,00,ETF,27.98,,29000.0,824000000.0,劉宗聖,Yes
00636,國泰中國A50,TSE,00,ETF,20.94,,220800.0,4670000000.0,張錫,Yes
00636K,國泰中國A50+U,TSE,00,ETF,6.55,,100.0,,張錫,No
00637L,元大滬深300正2,TSE,00,ETF,14.26,,1843000.0,26600000000.0,劉宗聖,Yes
00638R,元大滬深300反1,TSE,00,ETF,9.46,,26400.0,248000000.0,劉宗聖,Yes
00639,富邦深100,TSE,00,ETF,10.92,,141400.0,1550000000.0,史綱,Yes
00640L,富邦日本正2,TSE,00,ETF,57.0,,21900.0,1250000000.0,史綱,Yes
00641R,富邦日本反1,TSE,00,ETF,6.47,,43800.0,284000000.0,史綱,Yes
00642U,期元大S&P石油,TSE,00,ETF,17.62,,129800.0,2300000000.0,劉宗聖,Yes
00643,群益深証中小,TSE,00,ETF,11.77,,107100.0,1260000000.0,賴政昇,Yes
00643K,群益深証中小+R,TSE,00,ETF,2.65,,100.0,,賴政昇,No
00645,富邦日本,TSE,00,ETF,37.73,,87500.0,3300000000.0,史綱,Yes
00646,元大S&P500,TSE,00,ETF,52.6,,387500.0,20600000000.0,劉宗聖,Yes
00647L,元大S&P500正2,TSE,00,ETF,83.05,,6900.0,588000000.0,劉宗聖,Yes
00648R,元大S&P500反1,TSE,00,ETF,5.73,,191700.0,1090000000.0,劉宗聖,Yes
00650L,復華香港正2,TSE,00,ETF,11.51,,374300.0,4450000000.0,杜俊雄,Yes
00651R,復華香港反1,TSE,00,ETF,8.39,,22200.0,182000000.0,杜俊雄,Yes
00652,富邦印度,TSE,00,ETF,36.52,,52500.0,1910000000.0,史綱,Yes
00653L,富邦印度正2,TSE,00,ETF,56.0,,14900.0,836000000.0,史綱,Yes
00654R,富邦印度反1,TSE,00,ETF,6.96,,22000.0,152000000.0,史綱,Yes
00655L,國泰中國A50正2,TSE,00,ETF,24.36,,152500.0,3760000000.0,張錫,Yes
00656R,國泰中國A50反1,TSE,00,ETF,8.51,,15900.0,134000000.0,張錫,Yes
00657,國泰日經225,TSE,00,ETF,45.03,,14900.0,677000000.0,張錫,Yes
00657K,國泰日經225+U,TSE,00,ETF,13.97,,,,張錫,No
00660,元大歐洲50,TSE,00,ETF,36.71,,7000.0,259000000.0,劉宗聖,Yes
00661,元大日經225,TSE,00,ETF,49.33,,61400.0,3060000000.0,劉宗聖,Yes
00662,富邦NASDAQ,TSE,00,ETF,76.0,,309500.0,23800000000.0,史綱,Yes
00663L,國泰臺灣加權正2,TSE,00,ETF,194.5,,1300.0,257000000.0,張錫,Yes
00664R,國泰臺灣加權反1,TSE,00,ETF,4.22,,469600.0,1980000000.0,張錫,Yes
00665L,富邦恒生國企正2,TSE,00,ETF,7.54,,752500.0,5870000000.0,史綱,Yes
00666R,富邦恒生國企反1,TSE,00,ETF,14.06,,8100.0,112000000.0,史綱,Yes
00668,國泰美國道瓊,TSE,00,ETF,46.29,,5500.0,254000000.0,張錫,Yes
00668K,國泰美國道瓊+U,TSE,00,ETF,14.35,,,,張錫,No
