TradeID,Acc_ID,Action,StockID,Price,Quantities,Date,Time
00001,77687288778,Sell,911622,4.66,8600,1995/01/02,09:10:26.000000
00002,60675120964,Buy,3702A,46.12,2200,1995/01/02,10:42:09.000000
00003,07832636456,Buy,5880,25.32,6800,1995/01/02,10:47:12.000000
00004,73963017257,Buy,5228,20.66,5178,1995/01/03,09:51:54.000000
00005,07826615197,Buy,00860B,41.51,5100,1995/01/03,11:21:32.000000
00006,29294550249,Sell,7705,82.05,3500,1995/01/04,09:33:45.000000
00007,27012476019,Sell,4766,403.49,5200,1995/01/04,12:38:08.000000
00008,81526302701,Sell,00664R,3.95,2200,1995/01/04,12:46:42.000000
00009,61171687269,Buy,6536,18.68,4200,1995/01/05,10:26:51.000000
00010,11223393353,Sell,00694B,39.23,5000,1995/01/05,12:57:08.000000
00011,54818060616,Buy,00686R,2.33,2400,1995/01/06,10:03:26.000000
00012,92148913607,Sell,912000,2.75,100,1995/01/06,12:33:53.000000
00013,54408640437,Sell,6240,23.80,6600,1995/01/06,12:35:45.000000
00014,19153351596,Sell,6705,51.56,2200,1995/01/06,12:56:30.000000
00015,54017910508,Sell,2108,32.14,1400,1995/01/06,13:26:06.000000
00016,74896644573,Sell,00749B,32.91,5000,1995/01/09,09:26:35.000000
00017,35035669901,Sell,1802,17.17,8200,1995/01/09,10:29:56.000000
00018,70941853114,Sell,6242,50.80,8700,1995/01/09,10:44:15.000000
00019,95609830387,Sell,6744,20.91,6400,1995/01/09,13:06:50.000000
00020,31549361284,Sell,2305,23.18,1300,1995/01/10,09:09:36.000000
00021,77648898237,Sell,5508,197.20,5000,1995/01/10,09:50:25.000000
00022,94079925080,Sell,2312,15.54,5500,1995/01/10,10:38:24.000000
00023,38940040080,Sell,6673,9.40,5200,1995/01/11,11:45:23.000000
00024,13148105878,Buy,8215,35.31,7600,1995/01/12,09:37:04.000000
00025,86855118810,Buy,4148,51.96,9000,1995/01/12,09:53:01.000000
00026,65230892613,Sell,6257,70.12,2300,1995/01/12,10:27:06.000000
00027,93735251600,Sell,6517,81.72,5800,1995/01/12,11:20:18.000000
